,index,label
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,0
6,6,4
7,7,4
8,8,4
9,9,3
10,10,4
11,11,3
12,12,0
13,13,0
14,14,0
15,15,4
16,16,2
17,17,1
18,18,0
19,19,0
20,20,1
21,21,4
22,22,1
23,23,4
24,24,4
25,25,3
26,26,4
27,27,0
28,28,1
29,29,3
30,30,1
31,31,4
32,32,0
33,33,4
34,34,0
35,35,0
36,36,0
37,37,0
38,38,1
39,39,4
40,40,1
41,41,1
42,42,4
43,43,4
44,44,0
45,45,0
46,46,4
47,47,2
48,48,0
49,49,4
50,50,3
51,51,3
52,52,4
53,53,1
54,54,0
55,55,0
56,56,3
57,57,0
58,58,3
59,59,1
60,60,4
61,61,1
62,62,4
63,63,1
64,64,3
65,65,4
66,66,0
67,67,2
68,68,3
69,69,0
70,70,4
71,71,0
72,72,0
73,73,0
74,74,4
75,75,3
76,76,4
77,77,4
78,78,4
79,79,0
80,80,0
81,81,3
82,82,0
83,83,4
84,84,1
85,85,3
86,86,0
87,87,4
88,88,4
89,89,0
90,90,3
91,91,4
92,92,4
93,93,1
94,94,3
95,95,1
96,96,0
97,97,1
98,98,4
99,99,1
100,100,0
101,101,0
102,102,4
103,103,4
104,104,4
105,105,0
106,106,4
107,107,3
108,108,3
109,109,1
110,110,1
111,111,3
112,112,3
113,113,4
114,114,3
115,115,1
116,116,3
117,117,3
118,118,1
119,119,3
120,120,4
121,121,1
122,122,4
123,123,0
124,124,4
125,125,4
126,126,3
127,127,3
128,128,1
129,129,0
130,130,1
131,131,3
132,132,0
133,133,0
134,134,3
135,135,0
136,136,3
137,137,2
138,138,4
139,139,4
140,140,3
141,141,4
142,142,0
143,143,3
144,144,3
145,145,0
146,146,3
147,147,0
148,148,0
149,149,4
150,150,3
151,151,0
152,152,4
153,153,3
154,154,3
155,155,4
156,156,1
157,157,3
158,158,1
159,159,3
160,160,0
161,161,3
162,162,2
163,163,4
164,164,4
165,165,0
166,166,0
167,167,1
168,168,4
169,169,4
170,170,1
171,171,0
172,172,0
173,173,4
174,174,0
175,175,4
176,176,1
177,177,1
178,178,0
179,179,1
180,180,4
181,181,0
182,182,0
183,183,1
184,184,3
185,185,3
186,186,0
187,187,0
188,188,0
189,189,0
190,190,3
191,191,4
192,192,4
193,193,4
194,194,0
195,195,1
196,196,3
197,197,0
198,198,3
199,199,1
200,200,0
201,201,4
202,202,0
203,203,0
204,204,0
205,205,1
206,206,3
207,207,0
208,208,3
209,209,3
210,210,3
211,211,3
212,212,3
213,213,4
214,214,4
215,215,0
216,216,0
217,217,1
218,218,4
219,219,2
220,220,0
221,221,0
222,222,3
223,223,1
224,224,0
225,225,1
226,226,0
227,227,0
228,228,4
229,229,0
230,230,0
231,231,1
232,232,0
233,233,0
234,234,4
235,235,0
236,236,1
237,237,4
238,238,3
239,239,3
240,240,0
241,241,4
242,242,4
243,243,3
244,244,0
245,245,4
246,246,4
247,247,3
248,248,4
249,249,1
250,250,3
251,251,1
252,252,3
253,253,3
254,254,3
255,255,0
256,256,3
257,257,3
258,258,3
259,259,4
260,260,1
261,261,0
262,262,4
263,263,4
264,264,4
265,265,1
266,266,0
267,267,4
268,268,0
269,269,1
270,270,0
271,271,4
272,272,0
273,273,1
274,274,0
275,275,1
276,276,3
277,277,1
278,278,1
279,279,0
280,280,2
281,281,4
282,282,0
283,283,3
284,284,3
285,285,4
286,286,0
287,287,0
288,288,4
289,289,0
290,290,3
291,291,1
292,292,1
293,293,0
294,294,0
295,295,4
296,296,4
297,297,4
298,298,1
299,299,0
300,300,0
301,301,3
302,302,3
303,303,0
304,304,0
305,305,1
306,306,1
307,307,3
308,308,4
309,309,0
310,310,0
311,311,1
312,312,4
313,313,3
314,314,3
315,315,3
316,316,3
317,317,1
318,318,0
319,319,3
320,320,0
321,321,3
322,322,3
323,323,0
324,324,4
325,325,4
326,326,1
327,327,3
328,328,4
329,329,0
330,330,1
331,331,1
332,332,4
333,333,4
334,334,1
335,335,4
336,336,3
337,337,0
338,338,0
339,339,4
340,340,0
341,341,3
342,342,3
343,343,1
344,344,3
345,345,3
346,346,1
347,347,1
348,348,4
349,349,4
350,350,4
351,351,4
352,352,1
353,353,3
354,354,4
355,355,0
356,356,3
357,357,3
358,358,0
359,359,1
360,360,1
361,361,0
362,362,0
363,363,0
364,364,2
365,365,3
366,366,4
367,367,4
368,368,0
369,369,4
370,370,3
371,371,0
372,372,1
373,373,4
374,374,3
375,375,4
376,376,0
377,377,0
378,378,0
379,379,3
380,380,1
381,381,0
382,382,1
383,383,3
384,384,0
385,385,1
386,386,4
387,387,0
388,388,4
389,389,3
390,390,4
391,391,4
392,392,3
393,393,0
394,394,0
395,395,1
396,396,1
397,397,4
398,398,2
399,399,4
400,400,0
401,401,3
402,402,4
403,403,0
404,404,2
405,405,4
406,406,2
407,407,3
408,408,0
409,409,1
410,410,1
411,411,4
412,412,4
413,413,4
414,414,4
415,415,0
416,416,4
417,417,4
418,418,1
419,419,3
420,420,3
421,421,1
422,422,0
423,423,0
424,424,1
425,425,0
426,426,3
427,427,3
428,428,4
429,429,3
430,430,0
431,431,4
432,432,3
433,433,0
434,434,4
435,435,4
436,436,0
437,437,1
438,438,0
439,439,3
440,440,3
441,441,4
442,442,4
443,443,1
444,444,2
445,445,0
446,446,1
447,447,1
448,448,3
449,449,3
450,450,2
451,451,0
452,452,0
453,453,0
454,454,1
455,455,0
456,456,0
457,457,0
458,458,0
459,459,3
460,460,4
461,461,1
462,462,3
463,463,4
464,464,1
465,465,0
466,466,4
467,467,1
468,468,0
469,469,1
470,470,1
471,471,3
472,472,3
473,473,3
474,474,3
475,475,4
476,476,4
477,477,4
478,478,0
479,479,1
480,480,4
481,481,4
482,482,4
483,483,0
484,484,0
485,485,0
486,486,1
487,487,3
488,488,0
489,489,3
490,490,0
491,491,3
492,492,3
493,493,3
494,494,3
495,495,1
496,496,3
497,497,0
498,498,3
499,499,1
500,500,3
501,501,0
502,502,0
503,503,4
504,504,3
505,505,0
506,506,1
507,507,4
508,508,3
509,509,1
510,510,3
511,511,2
512,512,1
513,513,4
514,514,1
515,515,0
516,516,4
517,517,0
518,518,0
519,519,3
520,520,0
521,521,3
522,522,3
523,523,0
524,524,4
525,525,4
526,526,1
527,527,0
528,528,4
529,529,0
530,530,0
531,531,4
532,532,3
533,533,1
534,534,0
535,535,3
536,536,0
537,537,4
538,538,1
539,539,3
540,540,3
541,541,0
542,542,4
543,543,1
544,544,4
545,545,0
546,546,3
547,547,0
548,548,0
549,549,2
550,550,3
551,551,3
552,552,3
553,553,3
554,554,0
555,555,1
556,556,4
557,557,0
558,558,0
559,559,3
560,560,0
561,561,1
562,562,0
563,563,3
564,564,0
565,565,4
566,566,0
567,567,0
568,568,4
569,569,3
570,570,3
571,571,0
572,572,4
573,573,3
574,574,1
575,575,3
576,576,0
577,577,4
578,578,3
579,579,3
580,580,3
581,581,3
582,582,0
583,583,3
584,584,0
585,585,4
586,586,3
587,587,3
588,588,0
589,589,1
590,590,4
591,591,0
592,592,1
593,593,0
594,594,4
595,595,0
596,596,0
597,597,0
598,598,3
599,599,3
600,600,3
601,601,3
602,602,4
603,603,3
604,604,3
605,605,1
606,606,3
607,607,4
608,608,3
609,609,4
610,610,0
611,611,3
612,612,0
613,613,0
614,614,4
615,615,0
616,616,3
617,617,4
618,618,1
619,619,0
620,620,1
621,621,3
622,622,0
623,623,0
624,624,0
625,625,4
626,626,1
627,627,0
628,628,1
629,629,3
630,630,3
631,631,0
632,632,0
633,633,0
