,from,to,value,from_id,to_id
0,慶應義塾大学,研究,0.02595234979843844,3,198
1,早稲田大学,研究,0.02771640573609728,2,198
2,東京大学,研究,0.032507402897598035,0,198
3,月,研究,0.023916443059064485,131,198
4,会,研究,0.07054639883430909,43,198
5,学会,研究,0.048892136690358745,132,198
6,センター,研究,0.024387679674789425,84,198
7,情報,学部,0.045042508984645804,147,48
8,研究,月,0.023916443059064485,198,131
9,発信,月,0.019162136897452144,154,131
10,科学,月,0.02238486757286129,169,131
11,環境,月,0.027157459634576168,149,131
12,会,月,0.02549237610908552,43,131
13,魅力,月,0.02655025209055197,56,131
14,相談,月,0.03572523321630428,92,131
15,曜日,月,0.02237579855949828,46,131
16,保護,月,0.031215110983133,69,131
17,明治大学,学生,0.02560476787050268,4,60
18,情報,学生,0.04978420660119952,147,60
19,キャンパス,学生,0.03565107187089274,37,60
20,キャンパス,学生,0.033452255839314715,37,60
21,ポータルサイト,学生,0.01708982199846464,136,60
22,慶應義塾大学,情報,0.019949500078864167,3,147
23,明治大学,情報,0.024221420421342576,4,147
24,学部,情報,0.045042508984645804,48,147
25,学生,情報,0.04978420660119952,60,147
26,京都,情報,0.033827019477004214,64,147
27,物件,情報,0.09401240355078347,20,147
28,物件,情報,0.026380753568372974,20,147
29,サポート,情報,0.04655792020050142,137,147
30,案内,情報,0.02709813059030345,17,147
31,キャンパス,情報,0.029226146287348664,37,147
32,ウォーカープラス,情報,0.07107810350986571,189,147
33,試合,情報,0.0400232466095598,181,147
34,府,情報,0.03223244375191863,96,147
35,観光,情報,0.027723635617916582,142,147
36,製品,情報,0.05251048470469112,90,147
37,ポータルサイト,情報,0.04285102198148602,136,147
38,個人,情報,0.08268280892350949,49,147
39,情報,京都,0.033827019477004214,147,64
40,情報,物件,0.026380753568372974,147,20
41,情報,物件,0.09401240355078347,147,20
42,賃貸,物件,0.1691700853321552,201,20
43,賃貸,物件,0.3094418925092122,201,20
44,住宅,物件,0.062467189166861614,213,20
45,不動産,物件,0.09163206642568192,190,20
46,情報,サポート,0.04655792020050142,147,137
47,情報,案内,0.02709813059030345,147,17
48,駅,案内,0.10106010391641317,55,17
49,月,発信,0.019162136897452144,131,154
50,大学,早稲田,0.06268053881743803,158,10
51,学生,キャンパス,0.033452255839314715,60,37
52,学生,キャンパス,0.03565107187089274,60,37
53,情報,キャンパス,0.029226146287348664,147,37
54,学科,キャンパス,0.034216810157737164,70,37
55,大学,キャンパス,0.04033032086156267,158,37
56,月,科学,0.02238486757286129,131,169
57,月,環境,0.027157459634576168,131,149
58,研究,慶應義塾大学,0.02595234979843844,198,3
59,情報,慶應義塾大学,0.019949500078864167,147,3
60,研究,早稲田大学,0.02771640573609728,198,2
61,研究,東京大学,0.032507402897598035,198,0
62,研究,会,0.07054639883430909,198,43
63,月,会,0.02549237610908552,131,43
64,活動,会,0.02148126833855896,16,43
65,日本,会,0.017655708937958762,114,43
66,研究,学会,0.048892136690358745,198,132
67,日本,学会,0.05697684117934191,114,132
68,研究,センター,0.024387679674789425,198,84
69,平成,センター,0.022384587301745727,151,84
70,キャンパス,学科,0.034216810157737164,37,70
71,社会,学科,0.041646782112048766,172,70
72,早稲田,大学,0.06268053881743803,10,158
73,キャンパス,大学,0.04033032086156267,37,158
74,卒業生,大学,0.05174970679613135,5,158
75,アカデミー,イベント,0.0291188962678718,78,116
76,中古,アリーナ,0.05382146277570368,146,13
77,施設,アリーナ,0.03368385232988913,68,13
78,情報,ウォーカープラス,0.07107810350986571,147,189
79,情報,試合,0.0400232466095598,147,181
80,賃貸,在,0.023829944343708057,201,159
81,月,魅力,0.02655025209055197,131,56
82,観光,魅力,0.02095174719111023,142,56
83,月,相談,0.03572523321630428,131,92
84,電話,相談,0.03798435841855724,118,92
85,月,曜日,0.02237579855949828,131,46
86,月,保護,0.031215110983133,131,69
87,学生,明治大学,0.02560476787050268,60,4
88,情報,明治大学,0.024221420421342576,147,4
89,学生,ポータルサイト,0.01708982199846464,60,136
90,情報,ポータルサイト,0.04285102198148602,147,136
91,ログイン,ポータルサイト,0.017160247238992368,9,136
92,パスワード,ポータルサイト,0.01724809896691323,83,136
93,物件,賃貸,0.3094418925092122,20,201
94,物件,賃貸,0.1691700853321552,20,201
95,在,賃貸,0.023829944343708057,159,201
96,府,賃貸,0.041066751814700236,96,201
97,部屋,賃貸,0.1894883432408163,197,201
98,部屋,賃貸,0.11843437134873262,197,201
99,物件,住宅,0.062467189166861614,20,213
100,物件,不動産,0.09163206642568192,20,190
101,マンション,不動産,0.07672126759053018,208,190
102,情報,府,0.03223244375191863,147,96
103,賃貸,府,0.041066751814700236,201,96
104,情報,観光,0.027723635617916582,147,142
105,魅力,観光,0.02095174719111023,56,142
106,紹介,観光,0.03065831334925515,67,142
107,情報,製品,0.05251048470469112,147,90
108,紹介,製品,0.02150306500295723,67,90
109,情報,個人,0.08268280892350949,147,49
110,案内,駅,0.10106010391641317,17,55
111,時刻,駅,0.06702159159264866,200,55
112,賃貸,部屋,0.11843437134873262,201,197
113,賃貸,部屋,0.1894883432408163,201,197
114,アパート,部屋,0.04502456432592267,191,197
115,郵便,検索,0.04395547999009003,207,106
116,不動産,マンション,0.07672126759053018,190,208
117,会員,サービス,0.029086741609480493,177,115
118,電話,問い合わせ,0.03595167293129382,118,73
119,電話,問い合わせ,0.06583020758292328,118,73
120,卒業生,利用,0.043281686633166734,5,36
121,会員,利用,0.04790463903530599,177,36
122,駅,時刻,0.06702159159264866,55,200
123,活動,支部,0.026451109937148,16,104
124,利用,卒業生,0.043281686633166734,36,5
125,大学,卒業生,0.05174970679613135,158,5
126,サービス,会員,0.029086741609480493,115,177
127,利用,会員,0.04790463903530599,36,177
128,ログイン,会員,0.06493656883814745,9,177
129,登録,会員,0.10502772401246624,107,177
130,問い合わせ,電話,0.06583020758292328,73,118
131,問い合わせ,電話,0.03595167293129382,73,118
132,相談,電話,0.03798435841855724,92,118
133,一覧,番号,0.08885217416412336,65,87
134,イベント,アカデミー,0.0291188962678718,116,78
135,平成,方針,0.05034976876631533,151,34
136,学科,社会,0.041646782112048766,70,172
137,会,活動,0.02148126833855896,43,16
138,支部,活動,0.026451109937148,104,16
139,観光,紹介,0.03065831334925515,142,67
140,製品,紹介,0.02150306500295723,90,67
141,アリーナ,中古,0.05382146277570368,13,146
142,アリーナ,施設,0.03368385232988913,13,68
143,会,日本,0.017655708937958762,43,114
144,学会,日本,0.05697684117934191,132,114
145,部屋,アパート,0.04502456432592267,197,191
146,検索,郵便,0.04395547999009003,106,207
147,番号,一覧,0.08885217416412336,87,65
148,会員,ログイン,0.06493656883814745,177,9
149,ポータルサイト,ログイン,0.017160247238992368,136,9
150,会員,登録,0.10502772401246624,177,107
151,センター,平成,0.022384587301745727,84,151
152,方針,平成,0.05034976876631533,34,151
153,ポータルサイト,パスワード,0.01724809896691323,136,83
