,from,to,value,from_id,to_id
0,慶應義塾大学,研究,0.025952349798438436,4,33
1,慶應義塾大学,学部,0.022282244400435768,4,175
2,慶應義塾大学,月,0.02095873236089978,4,170
3,慶應義塾大学,学生,0.020781869120511054,4,209
4,慶應義塾大学,情報,0.019949500078864167,4,61
5,京都大学,京都,0.038553835628038685,1,16
6,京都大学,物件,0.025815417801708523,1,106
7,京都大学,研究,0.025131995638316768,1,33
8,京都大学,三つ,0.02332678729016828,1,211
9,京都大学,Mission,0.023253107880743844,1,107
10,明治大学,サポート,0.027880319297498925,2,135
11,明治大学,学生,0.025604767870502677,2,209
12,明治大学,案内,0.025111226973411203,2,136
13,明治大学,情報,0.024221420421342576,2,61
14,早稲田大学,研究,0.02771640573609728,3,33
15,早稲田大学,情報,0.02475652484140826,3,61
16,早稲田大学,校友,0.02311193027196433,3,41
17,早稲田大学,発信,0.020358768372298237,3,116
18,早稲田大学,早稲田,0.020203647254495923,3,62
19,東京大学,消費,0.03824033595595195,0,86
20,東京大学,生活協同組合,0.03450748394301831,0,47
21,東京大学,研究,0.03250740289759804,0,33
22,東京大学,ライフ,0.030079384270283848,0,174
23,東京大学,キャンパス,0.029016416224452807,0,124
24,研究,技術,0.02919527098939601,33,153
25,研究,科学,0.0287381163563198,33,207
26,研究,環境,0.024854208071728154,33,178
27,研究,月,0.023916443059064485,33,170
28,研究,開発,0.02286971543641064,33,109
29,学部,学科,0.10746296452703227,175,53
30,学部,大学院,0.07996750856698714,175,110
31,学部,教育,0.07646955601756324,175,83
32,学部,大学,0.05673512941177653,175,63
33,学部,情報,0.045042508984645804,175,61
34,月,イベント,0.07513034056844733,170,199
35,月,アリーナ,0.05215479681852267,170,7
36,月,ウォーカープラス,0.04526542840513274,170,60
37,月,試合,0.04393838485976339,170,85
38,月,土,0.04272090685271141,170,84
39,学生,大学,0.05174382741974745,209,63
40,学生,情報,0.04978420660119952,209,61
41,学生,在,0.042879053714989304,209,127
42,学生,キャンパス,0.03345225583931471,209,124
43,学生,教育,0.030804353334381532,209,83
44,情報,花粉,0.06262429441470804,61,108
45,情報,賃貸,0.03777177435166696,61,5
46,情報,住宅,0.034041080317939454,61,52
47,情報,不動産,0.026999419647512766,61,103
48,情報,物件,0.026380753568372977,61,106
49,京都,情報,0.033827019477004214,16,61
50,京都,天気,0.031066454775550877,16,130
51,京都,府,0.030740695513400442,16,32
52,京都,駅,0.02759386220787246,16,76
53,京都,観光,0.026559399808948295,16,183
54,物件,賃貸,0.3094418925092122,106,5
55,物件,部屋,0.09887134210535896,106,64
56,物件,情報,0.09401240355078347,106,61
57,物件,検索,0.08710602674453825,106,143
58,物件,マンション,0.0818982334913477,106,10
59,研究,技術,0.02919527098939601,33,153
60,研究,科学,0.0287381163563198,33,207
61,研究,環境,0.024854208071728154,33,178
62,研究,月,0.023916443059064485,33,170
63,研究,開発,0.02286971543641064,33,109
64,Mission,the,0.05254555087766267,107,138
65,Mission,of,0.03726759260952648,107,34
66,Mission,and,0.036996657058525007,107,8
67,Mission,to,0.030775189763304806,107,42
68,Mission,in,0.024116709754157556,107,123
69,サポート,製品,0.056006513521300115,135,144
70,サポート,情報,0.04655792020050142,135,61
71,サポート,サービス,0.044227201356357916,135,49
72,サポート,質問,0.04221926270545717,135,117
73,サポート,問い合わせ,0.03559485179749694,135,65
74,学生,大学,0.05174382741974745,209,63
75,学生,情報,0.04978420660119952,209,61
76,学生,在,0.042879053714989304,209,127
77,学生,キャンパス,0.03345225583931471,209,124
78,学生,教育,0.030804353334381532,209,83
79,案内,利用,0.03103404723696064,136,172
80,案内,情報,0.02709813059030345,136,61
81,案内,バス,0.02683590390303885,136,20
82,案内,宝くじ,0.02589975237674152,136,128
83,案内,時刻,0.023700504428090203,136,24
84,情報,花粉,0.06262429441470804,61,108
85,情報,賃貸,0.03777177435166696,61,5
86,情報,住宅,0.034041080317939454,61,52
87,情報,不動産,0.026999419647512766,61,103
88,情報,物件,0.026380753568372977,61,106
89,研究,技術,0.02919527098939601,33,153
90,研究,科学,0.0287381163563198,33,207
91,研究,環境,0.024854208071728154,33,178
92,研究,月,0.023916443059064485,33,170
93,研究,開発,0.02286971543641064,33,109
94,情報,花粉,0.06262429441470804,61,108
