,query,from_ut,from_ky,from_wa,from_ko,from_me,shortest_step,label_ut,label_ky,label_wa,label_ko,label_me,index
0,東京大学,0,2,2,2,4,0,True,False,False,False,False,0
1,京都大学,2,0,2,2,3,0,False,True,False,False,False,1
2,明治大学,4,3,2,2,0,0,False,False,False,False,True,2
3,早稲田大学,2,2,0,2,2,0,False,False,True,False,False,3
4,慶應義塾大学,2,2,2,0,2,0,False,False,False,True,False,4
5,賃貸,4,2,2,2,2,2,False,True,True,True,True,5
6,確認,5,5,4,4,3,3,False,False,False,False,True,6
7,アリーナ,6,5,4,4,4,4,False,False,True,True,True,7
8,and,4,2,4,4,5,2,False,True,False,False,False,8
9,ロト,6,5,4,4,3,3,False,False,False,False,True,9
10,マンション,5,3,3,3,3,3,False,True,True,True,True,10
11,アマゾン,99,99,99,99,99,99,True,True,True,True,True,11
12,定款,2,4,4,4,4,2,True,False,False,False,False,12
13,卒業,5,5,3,4,4,3,False,False,True,False,False,13
14,設置,4,4,2,4,4,2,False,False,True,False,False,14
15,個人,2,3,2,2,2,2,True,False,True,True,True,15
16,京都,3,1,2,2,2,1,False,True,False,False,False,16
17,回答,6,5,4,4,3,3,False,False,False,False,True,17
18,証明,5,5,3,4,4,3,False,False,True,False,False,18
19,システム,3,4,3,3,3,3,True,False,True,True,True,19
20,バス,5,4,3,3,2,2,False,False,False,False,True,20
21,横浜,7,6,5,5,5,5,False,False,True,True,True,21
22,電話,3,4,2,3,3,2,False,False,True,False,False,22
23,メッシュ,99,99,99,99,99,99,True,True,True,True,True,23
24,時刻,5,3,3,3,2,2,False,False,False,False,True,24
25,日,4,4,4,3,4,3,False,False,False,True,False,25
26,アカデミー,4,4,2,4,4,2,False,False,True,False,False,26
27,修理,3,5,5,5,7,3,True,False,False,False,False,27
28,福祉,5,5,4,3,4,3,False,False,False,True,False,28
29,曜日,2,3,3,2,4,2,True,False,False,True,False,29
30,サ,5,5,3,4,4,3,False,False,True,False,False,30
31,ごみ,3,4,4,3,5,3,True,False,False,True,False,31
32,府,4,2,2,2,2,2,False,True,True,True,True,32
33,研究,1,1,1,1,3,1,True,True,True,True,False,33
34,of,4,2,4,4,5,2,False,True,False,False,False,34
35,当社,3,4,3,3,3,3,True,False,True,True,True,35
36,概要,3,5,5,5,7,3,True,False,False,False,False,36
37,お客,3,4,3,3,3,3,True,False,True,True,True,37
38,支部,3,3,2,3,4,2,False,False,True,False,False,38
39,オープン,2,4,4,4,6,2,True,False,False,False,False,39
40,登記,3,4,4,3,5,3,True,False,False,True,False,40
41,校友,3,3,1,3,3,1,False,False,True,False,False,41
42,to,4,2,4,4,5,2,False,True,False,False,False,42
43,施設,3,3,3,3,5,3,True,True,True,True,False,43
44,資源,3,4,4,3,5,3,True,False,False,True,False,44
45,Q,6,5,4,4,3,3,False,False,False,False,True,45
46,予報,5,3,4,4,4,3,False,True,False,False,False,46
47,生活協同組合,1,3,3,3,3,1,True,False,False,False,False,47
48,–,5,5,3,5,5,3,False,False,True,False,False,48
49,サービス,4,4,3,3,2,2,False,False,False,False,True,49
50,会員,3,3,2,3,3,2,False,False,True,False,False,50
51,コース,5,5,3,5,5,3,False,False,True,False,False,51
52,住宅,4,2,2,2,2,2,False,True,True,True,True,52
53,学科,4,4,3,2,3,2,False,False,False,True,False,53
54,登録,4,4,3,4,3,3,False,False,True,False,True,54
55,受付,2,4,4,4,6,2,True,False,False,False,False,55
56,価格,5,4,3,3,3,3,False,False,True,True,True,56
57,ジャンボ,6,5,4,4,3,3,False,False,False,False,True,57
58,š,5,5,3,5,5,3,False,False,True,False,False,58
59,番号,4,4,2,3,3,2,False,False,True,False,False,59
60,ウォーカープラス,4,3,2,2,2,2,False,False,True,True,True,60
61,情報,3,2,1,1,1,1,False,False,True,True,True,61
62,早稲田,3,3,1,3,3,1,False,False,True,False,False,62
63,大学,4,4,2,2,3,2,False,False,True,True,False,63
64,部屋,4,2,3,3,3,2,False,True,False,False,False,64
65,問い合わせ,4,4,3,3,2,2,False,False,False,False,True,65
66,機器,5,4,3,3,3,3,False,False,True,True,True,66
67,ポータルサイト,2,3,2,2,2,2,True,False,True,True,True,67
68,ログイン,3,4,3,3,3,3,True,False,True,True,True,68
69,',5,5,3,5,5,3,False,False,True,False,False,69
70,€,5,5,3,5,5,3,False,False,True,False,False,70
71,教室,5,5,3,5,5,3,False,False,True,False,False,71
72,平成,3,3,3,3,4,3,True,True,True,True,False,72
73,掲載,3,5,5,5,7,3,True,False,False,False,False,73
74,専門,5,5,4,3,4,3,False,False,False,True,False,74
75,相談,2,3,3,2,4,2,True,False,False,True,False,75
76,駅,4,2,3,3,2,2,False,True,False,False,True,76
77,株式,3,5,5,5,5,3,True,False,False,False,False,77
78,変更,3,5,5,5,5,3,True,False,False,False,False,78
79,対策,3,3,3,3,5,3,True,True,True,True,False,79
80,社会,3,3,3,3,4,3,True,True,True,True,False,80
81,行政,3,4,4,3,5,3,True,False,False,True,False,81
82,模試,4,4,2,4,4,2,False,False,True,False,False,82
83,教育,4,4,3,2,3,2,False,False,False,True,False,83
84,土,99,99,99,99,99,99,True,True,True,True,True,84
85,試合,3,3,2,2,2,2,False,False,True,True,True,85
86,消費,1,3,3,3,5,1,True,False,False,False,False,86
87,アセットマネジメント,3,5,5,5,7,3,True,False,False,False,False,87
88,卒業生,4,4,2,3,3,2,False,False,True,False,False,88
89,規約,5,5,4,4,3,3,False,False,False,False,True,89
90,大塚,5,5,3,5,5,3,False,False,True,False,False,90
91,校舎,4,4,2,4,4,2,False,False,True,False,False,91
92,受験,5,5,3,5,5,3,False,False,True,False,False,92
93,会社,3,5,5,5,7,3,True,False,False,False,False,93
94,開催,3,3,3,3,5,3,True,True,True,True,False,94
95,協会,4,4,3,4,5,3,False,False,True,False,False,95
96,運営,3,5,4,4,4,3,True,False,False,False,False,96
97,CHINTAI,5,3,3,3,3,3,False,True,True,True,True,97
98,急ぎ,99,99,99,99,99,99,True,True,True,True,True,98
99,??,5,5,3,5,5,3,False,False,True,False,False,99
100,円,5,5,3,5,5,3,False,False,True,False,False,100
101,年金,3,4,4,3,5,3,True,False,False,True,False,101
102,ニュース,5,4,3,3,3,3,False,False,True,True,True,102
103,不動産,4,2,2,2,2,2,False,True,True,True,True,103
104,当せん,6,5,4,4,3,3,False,False,False,False,True,104
105,学術,3,3,3,3,5,3,True,True,True,True,False,105
106,物件,3,1,3,3,3,1,False,True,False,False,False,106
107,Mission,3,1,3,3,4,1,False,True,False,False,False,107
108,花粉,99,99,99,99,99,99,True,True,True,True,True,108
109,開発,2,2,2,2,4,2,True,True,True,True,False,109
110,大学院,4,4,3,2,3,2,False,False,False,True,False,110
111,支援,3,3,3,3,5,3,True,True,True,True,False,111
112,大分,4,4,4,3,4,3,False,False,False,True,False,112
113,NTT,4,5,3,4,4,3,False,False,True,False,False,113
114,診療,3,5,5,5,7,3,True,False,False,False,False,114
115,?,5,5,3,5,5,3,False,False,True,False,False,115
116,発信,3,3,1,2,2,1,False,False,True,False,False,116
117,質問,5,4,3,3,2,2,False,False,False,False,True,117
118,中古,5,3,3,3,3,3,False,True,True,True,True,118
119,日程,4,4,3,3,3,3,False,False,True,True,True,119
120,更生,3,4,4,3,4,3,True,False,False,True,False,120
121,日本,3,3,3,3,4,3,True,True,True,True,False,121
122,動き,99,99,99,99,99,99,True,True,True,True,True,122
123,in,4,2,4,4,5,2,False,True,False,False,False,123
124,キャンパス,1,3,3,3,5,1,True,False,False,False,False,124
125,事務所,3,5,5,5,5,3,True,False,False,False,False,125
126,地域,4,4,3,3,4,3,False,False,True,True,False,126
127,在,3,3,3,2,3,2,False,False,False,True,False,127
128,宝くじ,5,4,3,3,2,2,False,False,False,False,True,128
129,大阪,5,3,3,3,3,3,False,True,True,True,True,129
130,天気,4,2,3,3,3,2,False,True,False,False,False,130
131,スポット,5,3,3,3,3,3,False,True,True,True,True,131
132,気象,5,3,4,4,4,3,False,True,False,False,False,132
133,au,4,5,3,4,4,3,False,False,True,False,False,133
134,国民,3,4,4,3,4,3,True,False,False,True,False,134
135,サポート,4,3,2,2,1,1,False,False,False,False,True,135
136,案内,4,3,2,2,1,1,False,False,False,False,True,136
137,財団,3,3,3,3,5,3,True,True,True,True,False,137
138,the,4,2,4,4,5,2,False,True,False,False,False,138
139,選手,4,4,3,3,3,3,False,False,True,True,True,139
140,事業,3,5,5,5,5,3,True,False,False,False,False,140
141,路線,5,3,4,4,3,3,False,True,False,False,True,141
142,きっぷ,5,3,4,4,3,3,False,True,False,False,True,142
143,検索,5,3,3,3,3,3,False,True,True,True,True,143
144,製品,4,3,2,2,2,2,False,False,True,True,True,144
145,予約,3,5,5,5,7,3,True,False,False,False,False,145
146,くじ,6,5,4,4,3,3,False,False,False,False,True,146
147,法人,3,5,5,5,5,3,True,False,False,False,False,147
148,書名,6,4,4,4,4,4,False,True,True,True,True,148
149,名所,5,3,3,3,3,3,False,True,True,True,True,149
150,収集,3,4,4,3,5,3,True,False,False,True,False,150
151,おすすめ,5,4,3,3,3,3,False,False,True,True,True,151
152,チケット,4,4,3,3,3,3,False,False,True,True,True,152
153,技術,2,2,2,2,4,2,True,True,True,True,False,153
154,JR,5,3,4,4,3,3,False,True,False,False,True,154
155,スポーツ,7,6,5,5,5,5,False,False,True,True,True,155
156,診察,3,5,5,5,7,3,True,False,False,False,False,156
157,施政,3,5,4,4,4,3,True,False,False,False,False,157
158,～,3,3,3,3,5,3,True,True,True,True,False,158
159,ア,5,5,3,4,4,3,False,False,True,False,False,159
160,ネット,5,3,4,4,4,3,False,True,False,False,False,160
161,ID,4,4,3,4,4,3,False,False,True,False,False,161
162,気温,5,3,4,4,4,3,False,True,False,False,False,162
163,条件,6,4,4,4,4,4,False,True,True,True,True,163
164,アパート,5,3,3,3,3,3,False,True,True,True,True,164
165,経営,3,5,4,4,4,3,True,False,False,False,False,165
166,大会,3,3,3,3,5,3,True,True,True,True,False,166
167,基本,3,5,4,4,4,3,True,False,False,False,False,167
168,方針,2,4,3,3,3,2,True,False,False,False,False,168
169,ナンバーズ,6,5,4,4,3,3,False,False,False,False,True,169
170,月,2,2,2,1,3,1,False,False,False,True,False,170
171,紹介,5,3,3,3,3,3,False,True,True,True,True,171
172,利用,4,4,3,3,2,2,False,False,False,False,True,172
173,配送,99,99,99,99,99,99,True,True,True,True,True,173
174,ライフ,1,3,3,3,5,1,True,False,False,False,False,174
175,学部,3,3,2,1,2,1,False,False,False,True,False,175
176,‚,5,5,3,5,5,3,False,False,True,False,False,176
177,四谷,5,5,3,5,5,3,False,False,True,False,False,177
178,環境,2,2,2,2,4,2,True,True,True,True,False,178
179,ƒ,5,5,3,5,5,3,False,False,True,False,False,179
180,学会,2,2,2,2,4,2,True,True,True,True,False,180
181,商品,6,5,4,4,3,3,False,False,False,False,True,181
182,カード,5,5,4,4,3,3,False,False,False,False,True,182
183,観光,4,2,2,2,2,2,False,True,True,True,True,183
184,出版,6,4,4,4,4,4,False,True,True,True,True,184
185,保全,3,3,3,3,5,3,True,True,True,True,False,185
186,企業,4,4,3,3,4,3,False,False,True,True,False,186
187,培養,99,99,99,99,99,99,True,True,True,True,True,187
188,魅力,3,3,2,2,3,2,False,False,True,True,False,188
189,チェック,5,3,4,4,4,3,False,True,False,False,False,189
190,ポイント,5,5,4,4,3,3,False,False,False,False,True,190
191,保護,2,3,3,2,3,2,True,False,False,True,False,191
192,予測,99,99,99,99,99,99,True,True,True,True,True,192
193,降水,5,3,4,4,4,3,False,True,False,False,False,193
194,図書館,5,5,3,4,4,3,False,False,True,False,False,194
195,活動,3,3,3,3,5,3,True,True,True,True,False,195
196,学校,5,5,3,5,5,3,False,False,True,False,False,196
197,内容,5,5,4,4,3,3,False,False,False,False,True,197
198,定額,5,5,3,5,5,3,False,False,True,False,False,198
199,イベント,5,4,3,3,3,3,False,False,True,True,True,199
200,おの,5,5,4,4,3,3,False,False,False,False,True,200
201,店舗,6,4,4,4,4,4,False,True,True,True,True,201
202,口コミ,5,3,3,3,3,3,False,True,True,True,True,202
203,一覧,5,4,3,3,3,3,False,False,True,True,True,203
204,センター,2,2,2,2,4,2,True,True,True,True,False,204
205,郵便,5,4,3,4,4,3,False,False,True,False,False,205
206,パスワード,3,4,3,3,3,3,True,False,True,True,True,206
207,科学,2,2,2,2,4,2,True,True,True,True,False,207
208,会,2,2,2,2,4,2,True,True,True,True,False,208
209,学生,3,3,3,1,1,1,False,False,False,True,True,209
210,公衆,4,5,3,4,4,3,False,False,True,False,False,210
211,三つ,3,1,3,3,4,1,False,True,False,False,False,211
212,生活,2,4,4,3,4,2,True,False,False,False,False,212
213,地球,3,3,3,3,5,3,True,True,True,True,False,213
